time,ENV.pressure.Pa,ENV.temperature.K,PHOT.jbrcl.s-1,PHOT.jbro.s-1,PHOT.jbrono2_a.s-1,PHOT.jbrono2_b.s-1,PHOT.jccl4.s-1,PHOT.jcf2cl2.s-1,PHOT.jcf2clbr.s-1,PHOT.jcf3br.s-1,PHOT.jcfc113.s-1,PHOT.jcfc114.s-1,PHOT.jcfc115.s-1,PHOT.jcfcl3.s-1,PHOT.jch2br2.s-1,PHOT.jch2o_a.s-1,PHOT.jch2o_b.s-1,PHOT.jchbr3.s-1,PHOT.jch3ccl3.s-1,PHOT.jch3cl.s-1,PHOT.jch3ooh.s-1,PHOT.jch4_a.s-1,PHOT.jch4_b.s-1,PHOT.jcl2.s-1,PHOT.jcl2o2.s-1,PHOT.jclo.s-1,PHOT.jclono2_a.s-1,PHOT.jclono2_b.s-1,PHOT.jco2.s-1,PHOT.jh2402.s-1,PHOT.jh2o_a.s-1,PHOT.jh2o_b.s-1,PHOT.jh2o_c.s-1,PHOT.jhbr.s-1,PHOT.jhcfc141b.s-1,PHOT.jhcfc142b.s-1,PHOT.jhcfc22.s-1,PHOT.jhcl.s-1,PHOT.jhno3.s-1,PHOT.jho2no2_a.s-1,PHOT.jho2no2_b.s-1,PHOT.jhobr.s-1,PHOT.jhocl.s-1,PHOT.jn2o.s-1,PHOT.jn2o5_a.s-1,PHOT.jn2o5_b.s-1,PHOT.jno.s-1,PHOT.jno3_a.s-1,PHOT.jno3_b.s-1,PHOT.jo2_a.s-1,PHOT.jo2_b.s-1,PHOT.jo3_a.s-1,PHOT.jo3_b.s-1,PHOT.joclo.s-1,PHOT.jno2.s-1,PHOT.jch3br.s-1,PHOT.jh2o2.s-1,,
0,294.8321053,252.7612,0.0147989,0.06075022,0.000662184,0.001621209,1.15E-05,6.30E-07,3.87E-05,3.75E-06,7.65E-07,5.92E-08,4.11E-09,5.03E-06,0.00010528,7.52E-05,0.000109356,0.000221859,7.47E-06,1.36E-07,1.96E-05,0.00E+00,0.00E+00,0.003639333,0.003803919,0.001716018,0.000151381,7.64E-05,3.56E-11,3.22E-05,1.58E-09,0.00E+00,0.00E+00,1.90E-05,1.24E-06,1.07E-08,2.68E-09,2.03E-07,4.55E-05,2.54E-05,0.000104485,0.003446643,0.000497463,2.71E-07,9.03E-05,0.000120375,1.50E-07,0.2414192,0.01286507,0.00E+00,2.27E-10,0.000920885,0.000665359,0.100067,0.01332597,1.81E-05,3.12E-05,,
1800,294.8321053,252.4659,0.01412226,0.05726086,0.00061701,0.001510611,9.24E-06,4.99E-07,2.96E-05,2.92E-06,6.16E-07,4.71E-08,3.30E-09,4.11E-06,7.68E-05,6.99E-05,0.000102612,0.000160079,6.11E-06,1.08E-07,1.67E-05,0,0,0.003439107,0.003470306,0.001434374,0.000124999,6.01E-05,2.35E-11,2.49E-05,9.66E-10,0,0,1.52E-05,1.00E-06,8.47E-09,2.13E-09,1.64E-07,3.77E-05,2.02E-05,8.51E-05,0.00325876,0.000465558,2.22E-07,8.08E-05,9.51E-05,9.07E-08,0.231659,0.01234372,0,1.72E-10,0.00068674,0.000615334,0.09501942,0.01265843,1.41E-05,2.61E-05,,
3600,294.8321053,252.1697,0.01278974,0.05129384,0.000541077,0.001324707,5.75E-06,3.14E-07,1.72E-05,1.73E-06,3.95E-07,2.97E-08,2.10E-09,2.67E-06,4.16E-05,6.12E-05,9.14E-05,8.75E-05,3.97E-06,6.80E-08,1.28E-05,0,0,0.003087189,0.002975157,0.001065114,8.99E-05,3.91E-05,1.08E-11,1.46E-05,3.95E-10,0,0,9.40E-06,6.44E-07,5.33E-09,1.34E-09,1.05E-07,2.53E-05,1.33E-05,5.91E-05,0.002917147,0.00041271,1.45E-07,6.65E-05,5.82E-05,3.51E-08,0.2110358,0.0111915,0,9.87E-11,0.000439577,0.00053966,0.08565312,0.01140346,8.44E-06,1.92E-05,,
5400,294.8321053,251.7492,0.01152683,0.04416393,0.000454955,0.001113855,1.40E-06,8.22E-08,3.65E-06,3.77E-07,1.06E-07,7.83E-09,5.54E-10,7.24E-07,7.74E-06,4.77E-05,7.76E-05,1.87E-05,1.06E-06,1.79E-08,8.30E-06,0,0,0.002686587,0.002359652,0.000581364,5.25E-05,1.66E-05,1.29E-12,3.20E-06,3.50E-11,0,0,2.27E-06,1.73E-07,1.39E-09,3.48E-10,2.82E-08,7.87E-06,4.83E-06,2.81E-05,0.002542081,0.000345453,4.00E-08,4.76E-05,1.39E-05,2.27E-09,0.1964142,0.01049794,0,2.08E-11,0.000177069,0.000473661,0.07582387,0.01009553,1.89E-06,1.11E-05,,
7200,294.8321053,251.3298,0.008112405,0.02054797,0.000250374,0.000612984,8.16E-09,1.94E-10,2.59E-08,2.57E-09,3.47E-10,2.27E-11,1.97E-12,3.01E-09,6.07E-08,6.77E-06,3.53E-05,3.17E-07,4.78E-09,5.21E-11,2.02E-06,0,0,0.001426235,0.000968898,5.79E-06,2.00E-05,1.96E-06,1.20E-31,2.13E-08,4.72E-33,0,0,1.28E-08,5.54E-10,3.65E-12,1.09E-12,9.54E-11,9.14E-08,3.07E-07,1.10E-05,0.001532057,0.00014547,1.44E-10,9.88E-06,9.50E-08,0.00E+00,0.1324411,0.007019996,0,1.36E-13,1.38E-06,0.000278623,0.04826355,0.006473434,1.23E-08,2.03E-06,,
9000,294.8321053,250.8402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10800,294.8321053,250.4146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12600,294.8321053,250.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14400,294.8321053,249.6536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16200,294.8321053,249.3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18000,294.8321053,249.1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
